id,year,state,county,stFIPS,coFIPS,FIPS,FarmLbsN_perAc,ExcLbsN_perAc,RecLbsN_perAc
85794,2016,Alabama,Autauga,1,1,1001,39.39749783,55.77869337,2.846396897
85796,2016,Alabama,Baldwin,1,3,1003,55.72892302,25.41780264,1.508830921
85798,2016,Alabama,Barbour,1,5,1005,100.1371056,134.0900701,47.57277747
85800,2016,Alabama,Bibb,1,7,1007,56.89404434,103.9072332,2.726578897
85802,2016,Alabama,Blount,1,9,1009,77.68619562,313.189621,120.7989759
85804,2016,Alabama,Bullock,1,11,1011,41.33722229,109.1496403,16.06049456
85806,2016,Alabama,Butler,1,13,1013,130.5118027,323.1272716,135.5044825
85808,2016,Alabama,Calhoun,1,15,1015,43.60658402,152.617776,36.71936867
85810,2016,Alabama,Chambers,1,17,1017,51.03274548,184.4004481,3.596135189
85812,2016,Alabama,Cherokee,1,19,1019,45.73297975,92.25851024,37.11975404
85814,2016,Alabama,Chilton,1,21,1021,68.29224876,78.03810559,0.468663994
85816,2016,Alabama,Choctaw,1,23,1023,35.20076892,247.6846598,18.03558513
85818,2016,Alabama,Clarke,1,25,1025,45.25142207,79.84741746,3.634424282
85820,2016,Alabama,Clay,1,27,1027,45.31603461,405.9167171,144.9919765
85822,2016,Alabama,Cleburne,1,29,1029,32.90838386,711.3616249,282.9602039
85824,2016,Alabama,Coffee,1,31,1031,56.0378457,139.7362053,54.28922418
85826,2016,Alabama,Colbert,1,33,1033,32.32833432,36.61013514,7.131696326
85828,2016,Alabama,Conecuh,1,35,1035,172.9900456,81.75854331,11.21570088
85830,2016,Alabama,Coosa,1,37,1037,22.77070065,311.6155898,6.561187751
85832,2016,Alabama,Covington,1,39,1039,77.22386993,105.7830768,40.8044627
85834,2016,Alabama,Crenshaw,1,41,1041,37.21018204,371.1809,151.4945209
85836,2016,Alabama,Cullman,1,43,1043,77.9155323,405.0625933,166.0090998
85838,2016,Alabama,Dale,1,45,1045,86.4349933,150.1164442,67.31321337
85840,2016,Alabama,Dallas,1,47,1047,39.7940132,40.95935317,0.064331413
85842,2016,Alabama,De Kalb,1,49,1049,75.09295784,311.0423147,121.5898665
85844,2016,Alabama,Elmore,1,51,1051,51.74413028,49.12010064,3.320103682
85846,2016,Alabama,Escambia,1,53,1053,110.8754828,37.268988,2.095537803
85848,2016,Alabama,Etowah,1,55,1055,87.42180501,233.9723342,80.57128454
85850,2016,Alabama,Fayette,1,57,1057,77.89826532,105.2739096,18.1095578
85852,2016,Alabama,Franklin,1,59,1059,34.63845101,254.518523,81.89647887
85854,2016,Alabama,Geneva,1,61,1061,66.90460261,78.98862869,28.67973739
85856,2016,Alabama,Greene,1,63,1063,30.12464086,92.77776933,0.572270391
85858,2016,Alabama,Hale,1,65,1065,19.0781952,118.5155171,4.714711664
85860,2016,Alabama,Henry,1,67,1067,64.39021727,71.96055526,26.9193239
85862,2016,Alabama,Houston,1,69,1069,63.39546914,26.4251266,1.151422984
85864,2016,Alabama,Jackson,1,71,1071,51.76302182,71.55359211,27.40038381
85866,2016,Alabama,Jefferson,1,73,1073,104.3270205,200.8808249,14.6866981
85868,2016,Alabama,Lamar,1,75,1075,26.56072755,138.5644624,10.12841341
