FIPS,Ag,Forest,Grass
16017,8.4615,973.0378,78.8444
18087,32.3498,7784.8679,499.3759
41027,9.8274,1169.4811,526.6103
48273,43.8194,17721.0537,1252.2224
47085,25.3229,11204.3572,679.7022
40137,35.6143,20350.0637,1903.0666
46061,15.1144,1904.6749,77.4281
48367,40.0701,18100.9726,2218.4693
18145,38.8824,7553.4653,385.5183
19127,46.6167,11186.6076,625.7709
19117,34.0706,11226.5764,748.2531
27101,14.626,3691.5818,230.8217
8035,21.0673,4081.0403,1333.5897
48285,28.985,18836.5144,1752.6041
44001,18.6922,4334.3019,477.6519
13307,45.6302,20207.0775,2839.2369
72021,0,0,0
37101,27.565,13589.8283,1186.5229
20151,24.2571,4470.062,217.7795
19017,46.9158,9318.7567,521.3275
29213,28.4215,16331.7849,1770.1847
13239,39.3103,16355.076,3688.4034
28047,51.0186,12956.3195,4291.4267
28103,36.8776,13982.4959,1661.8813
42051,16.7181,4690.1589,338.545
5059,33.8176,11826.0638,1700.0764
72139,0,0,0
40069,31.818,18967.561,1440.0849
55005,27.3388,8425.42,639.906
13227,25.3039,9010.601,1073.458
19083,30.9046,7560.4691,430.0527
27161,34.639,7776.2201,449.3183
13063,27.8382,11535.9066,1704.7554
55063,26.851,7396.4091,538.646
48107,162.8767,20127.5265,1912.0943
29001,34.2176,10711.066,627.3406
56045,61.3886,4712.2268,439.2881
20097,23.7412,3569.8195,166.9771
31113,21.6147,3356.4498,123.882
18113,26.2432,6168.606,384.7874
20119,24.0206,4430.2611,270.1377
29181,36.4238,20890.5135,1531.9286
31145,16.4455,4242.4073,209.7835
39093,16.9611,3918.9899,282.133
51043,27.7418,10487.2715,801.9426
48045,49.7865,13388.4672,1919.7944
51660,50.2911,16657.3547,1477.867
40109,31.3871,19585.9242,1369.1971
48129,55.4365,12497.2163,1194.3955
21209,34.9815,7724.0338,441.6277
46057,11.8154,1852.1504,100.6821
19169,34.8926,9487.6145,521.9075
20027,21.5558,4582.6108,217.4818
21203,20.0926,8094.4744,541.0591
72013,0,0,0
38097,9.6235,2399.8716,310.7521
21107,20.2403,9465.8415,595.6958
28065,40.0841,15732.3272,2314.0083
19015,26.056,6645.1716,372.974
5067,37.4081,18769.7871,991.9804
13213,34.0758,11786.8321,1099.4565
18115,14.4728,4276.4378,254.9156
38035,9,2438.217,214.3825
38079,10.5811,5646.5165,959.9709
5039,33.1912,12016.9604,1286.8173
39079,22.1365,7510.9541,537.483
51530,19.8873,6888.6632,565.3215
41069,7.7379,625.7289,276.255
47043,27.1905,12626.1255,832.3549
48393,57.8144,9139.1223,285.2587
48065,46.3489,8041.0072,322.8407
19003,38.0566,7926.2332,401.41
27039,38.5106,9652.5292,599.9634
18149,28.7371,10471.8844,924.0892
42113,13.4183,2363.3171,120.423
48227,78.6926,13338.6752,5181.4713
29131,37.1806,20108.2604,1726.5748
20081,25.7802,3702.6076,110.4282
19197,24.1535,6193.7225,383.5618
12099,42.6255,6425.4773,1133.158
19139,60.2874,11054.6477,547.5319
36003,13.4137,2586.6748,178.4972
46053,16.1435,5313.8028,342.6722
47129,20.5788,8226.1008,699.0931
72069,0,0,0
51113,27.1878,9031.5479,608.6087
21131,19.2782,6830.9423,0
39131,18.4576,6709.9244,456.5862
18183,30.6717,7423.1417,449.1256
31077,15.9525,2527.4568,104.4527
21155,21.2536,7964.0877,477.8939
17061,35.4021,13137.9726,722.1846
48211,49.6025,8381.9566,316.1893
12041,57.3516,13770.2395,2753.4097
19185,31.6558,10571.0697,721.7447
28129,37.2611,14291.1067,2056.2215
27055,33.0314,9537.4683,695.953
18159,35.7751,5609.854,263.5466
20131,21.5762,6588.2006,331.537
35015,21.1513,2950.8126,4095.4456
36087,22.739,7455.1492,738.6499
48421,32.9946,5051.5858,163.3138
47165,17.1694,7628.4426,490.0631
5025,31.0302,11776.6072,2331.6948
48191,53.2488,14955.9997,2651.2185
72083,0,0,0
51775,17.7716,6156.5711,382.6022
48507,34.558,12372.5383,493.3573
39143,23.5038,4504.354,271.9453
20061,28.6132,7533.9915,357.8634
28155,28.3436,11588.0199,1364.9284
