FIPS,PrimaryPartitionID,PrimaryPartitionName,SecondaryPartitionID,SecondaryPartitionName,COmin,COmean,COmax,NO2min,NO2mean,NO2max,O3min,O3mean,O3max,PM10min,PM10mean,PM10max,PM2.5min,PM2.5mean,PM2.5max,SO2min,SO2mean,SO2max
1001,1,Alabama,1,Autauga,0.145,0.145,0.145,0.107,0.175,0.213,1.353,3.84,5.357,0.666,1.705,2.664,0.036,0.26,0.555,0.191,0.308,0.494
1003,1,Alabama,3,Baldwin,0.157,0.157,0.157,0.257,0.426,0.499,1.932,5.031,6.061,0.867,2.219,3.467,0.041,0.311,0.667,0.217,0.316,0.431
1005,1,Alabama,5,Barbour,0.116,0.116,0.116,0.588,0.939,1.096,2.306,5.253,6.653,0.417,1.068,1.669,0.051,0.393,0.837,0.133,0.216,0.321
1007,1,Alabama,7,Bibb,0.169,0.169,0.169,0.124,0.197,0.244,0.991,3.223,4.559,0.81,2.073,3.239,0.037,0.291,0.628,0.217,0.343,0.573
1009,1,Alabama,9,Blount,0.058,0.058,0.058,0.076,0.121,0.15,1.549,3.478,4.569,0.616,1.576,2.463,0.019,0.15,0.304,0.135,0.219,0.363
1011,1,Alabama,11,Bullock,0.082,0.082,0.082,0.115,0.182,0.223,2.665,5.317,7.009,0.701,1.794,2.804,0.035,0.274,0.556,0.12,0.192,0.305
1013,1,Alabama,13,Butler,0.16,0.16,0.16,0.248,0.409,0.498,1.578,4.582,6.033,0.756,1.936,3.025,0.036,0.272,0.531,0.2,0.285,0.426
1015,1,Alabama,15,Calhoun,0.064,0.064,0.064,0.092,0.143,0.176,1.798,3.718,4.988,0.477,1.221,1.908,0.029,0.222,0.443,0.153,0.241,0.382
1017,1,Alabama,17,Chambers,0.079,0.079,0.079,0.118,0.188,0.238,1.961,4.426,6.173,0.427,1.094,1.71,0.027,0.198,0.394,0.115,0.18,0.299
1019,1,Alabama,19,Cherokee,0.06,0.06,0.06,0.092,0.136,0.17,1.41,2.988,4.167,0.461,1.181,1.845,0.026,0.193,0.385,0.154,0.229,0.368
1021,1,Alabama,21,Chilton,0.151,0.151,0.151,0.105,0.177,0.215,1.75,4.419,5.931,0.705,1.806,2.821,0.035,0.265,0.553,0.189,0.312,0.505
1023,1,Alabama,23,Choctaw,0.168,0.168,0.168,0.259,0.427,0.523,2.597,5.447,6.953,0.581,1.488,2.325,0.05,0.393,0.824,0.207,0.294,0.444
1025,1,Alabama,25,Clarke,0.176,0.176,0.176,0.274,0.435,0.552,2.743,5.523,7.213,0.732,1.874,2.928,0.039,0.291,0.605,0.22,0.3,0.469
1027,1,Alabama,27,Clay,0.083,0.083,0.083,0.121,0.186,0.226,2.388,4.809,6.384,0.963,2.465,3.851,0.03,0.226,0.457,0.199,0.311,0.485
1029,1,Alabama,29,Cleburne,0.077,0.077,0.077,0.117,0.179,0.218,2.636,5.08,6.855,0.715,1.831,2.86,0.029,0.219,0.444,0.192,0.299,0.467
1031,1,Alabama,31,Coffee,0.14,0.14,0.14,0.572,0.891,1.04,1.722,4.322,5.515,0.661,1.692,2.643,0.045,0.342,0.728,0.186,0.266,0.383
1033,1,Alabama,33,Colbert,0.105,0.105,0.105,0.321,0.505,0.641,1.294,3.045,4.097,0.283,0.725,1.133,0.029,0.218,0.477,0.083,0.138,0.232
1035,1,Alabama,35,Conecuh,0.159,0.159,0.159,0.243,0.388,0.494,2.125,4.69,6.362,0.931,2.383,3.723,0.034,0.251,0.528,0.195,0.267,0.42
1037,1,Alabama,37,Coosa,0.088,0.088,0.088,0.127,0.195,0.243,3.05,5.663,7.572,0.819,2.097,3.276,0.032,0.239,0.472,0.221,0.341,0.562
1039,1,Alabama,39,Covington,0.151,0.151,0.151,0.239,0.38,0.472,1.971,4.366,5.906,0.888,2.272,3.551,0.025,0.19,0.376,0.192,0.261,0.398
1041,1,Alabama,41,Crenshaw,0.154,0.154,0.154,0.12,0.197,0.233,1.492,4.391,5.792,0.724,1.853,2.895,0.033,0.256,0.5,0.186,0.269,0.405
1043,1,Alabama,43,Cullman,0.051,0.051,0.051,0.068,0.107,0.133,1.675,3.423,4.555,0.189,0.485,0.757,0.017,0.131,0.265,0.121,0.194,0.321
1045,1,Alabama,45,Dale,0.143,0.143,0.143,0.139,0.224,0.259,1.702,4.362,5.562,0.673,1.724,2.694,0.045,0.338,0.72,0.127,0.205,0.3
1047,1,Alabama,47,Dallas,0.139,0.139,0.139,0.207,0.346,0.423,0.842,2.892,3.84,0.649,1.662,2.597,0.03,0.23,0.448,0.187,0.313,0.477
1049,1,Alabama,49,DeKalb,0.052,0.052,0.052,0.066,0.104,0.134,0.972,2.353,3.389,0.247,0.633,0.99,0.016,0.117,0.233,0.114,0.179,0.302
1051,1,Alabama,51,Elmore,0.084,0.084,0.084,0.1,0.17,0.208,2.27,4.866,6.536,0.665,1.703,2.661,0.034,0.247,0.526,0.181,0.3,0.49
1053,1,Alabama,53,Escambia,0.143,0.143,0.143,0.237,0.368,0.463,2.054,4.388,5.886,0.922,2.36,3.688,0.034,0.253,0.532,0.192,0.257,0.394
1055,1,Alabama,55,Etowah,0.062,0.062,0.062,0.074,0.124,0.156,1.411,3.184,4.352,0.558,1.429,2.233,0.025,0.195,0.39,0.121,0.211,0.354
1057,1,Alabama,57,Fayette,0.143,0.143,0.143,0.524,0.79,0.959,2.98,5.602,7.107,0.772,1.975,3.086,0.04,0.31,0.679,0.206,0.33,0.517
1059,1,Alabama,59,Franklin,0.117,0.117,0.117,0.383,0.594,0.74,1.656,3.685,4.795,0.513,1.314,2.053,0.026,0.196,0.417,0.149,0.248,0.401
1061,1,Alabama,61,Geneva,0.116,0.116,0.116,0.183,0.281,0.319,1.585,3.674,4.59,0.553,1.416,2.213,0.039,0.294,0.625,0.161,0.227,0.323
1063,1,Alabama,63,Greene,0.157,0.157,0.157,0.237,0.401,0.488,0.96,3.263,4.369,0.63,1.614,2.521,0.027,0.211,0.501,0.209,0.342,0.536
1065,1,Alabama,65,Hale,0.15,0.15,0.15,0.219,0.375,0.458,0.896,3.087,4.137,0.595,1.522,2.379,0.025,0.194,0.459,0.193,0.32,0.505
1067,1,Alabama,67,Henry,0.132,0.132,0.132,0.526,0.827,0.965,1.607,4.012,5.172,0.366,0.937,1.465,0.046,0.349,0.746,0.118,0.19,0.28
1069,1,Alabama,69,Houston,0.108,0.108,0.108,0.186,0.285,0.332,1.338,3.276,4.254,0.353,0.904,1.413,0.037,0.286,0.611,0.099,0.156,0.231
1071,1,Alabama,71,Jackson,0.065,0.065,0.065,0.071,0.119,0.157,1.167,3.144,4.757,0.281,0.719,1.123,0.017,0.13,0.258,0.124,0.205,0.358
1073,1,Alabama,73,Jefferson,0.117,0.117,0.117,0.094,0.148,0.183,1.83,3.999,5.4,0.578,1.479,2.311,0.026,0.204,0.439,0.165,0.261,0.434
1075,1,Alabama,75,Lamar,0.144,0.144,0.144,0.388,0.576,0.726,1.504,4.011,5.394,0.752,1.925,3.009,0.038,0.293,0.64,0.196,0.319,0.507
1077,1,Alabama,77,Lauderdale,0.07,0.07,0.07,0.256,0.411,0.528,0.98,2.461,3.365,0.235,0.601,0.939,0.023,0.174,0.379,0.065,0.112,0.192
1079,1,Alabama,79,Lawrence,0.055,0.055,0.055,0.329,0.499,0.633,1.233,3.033,4.146,0.292,0.748,1.168,0.02,0.154,0.312,0.131,0.211,0.348
1081,1,Alabama,81,Lee,0.076,0.076,0.076,0.103,0.168,0.207,1.851,4.327,5.919,0.33,0.844,1.319,0.031,0.243,0.498,0.109,0.176,0.288
1083,1,Alabama,83,Limestone,0.042,0.042,0.042,0.221,0.351,0.451,0.775,2.128,2.975,0.225,0.576,0.9,0.019,0.135,0.3,0.083,0.144,0.247
1085,1,Alabama,85,Lowndes,0.139,0.139,0.139,0.098,0.162,0.199,1.257,3.589,5.08,0.636,1.628,2.543,0.031,0.241,0.497,0.171,0.282,0.461
