STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,nlcd1,nlcd2,nlcd3,nlcd4,nlcd5,forest1,forest2,forest3,forest4,forest5,native1,native2,native3,native4,native5,proag1,proag2,proag3,proag4,proag5,ref1,ref2,ref3,ref4,ref5,urban1,urban2,urban3,urban4,urban5
16,17,395158,0500000US16017,16017,Bonner,6,4492522387,478947473,1558,3654,379864,5917,47679,4810.949281,9153.16124,368433.4335,15301.94793,40972.50612,4442.606226,7280.635393,364739.0386,15069.31879,47140.39885,7390.536088,8044.19161,363084.8601,15588.79951,44563.61256,5463.695497,8728.231386,363454.5867,15864.23358,45161.25112,3938.311422,7666.790475,378943.5133,5979.343495,42144.04146
18,87,450368,0500000US18087,18087,LaGrange,6,983230790,18324388,45398,22948,5146,8309,1867,33341.81607,9813.671912,24045.60533,13297.37626,3169.530224,38512.35581,10393.67017,17109.67175,13298.25891,4354.042917,51948.51698,5073.14847,13153.73939,12410.93038,1081.663487,39115.07337,11181.93451,17182.50814,13173.62556,3014.857247,41664.96215,12019.51262,18369.92185,8309,3304.602814
41,27,1155131,0500000US41027,41027,Hood River,6,1351717731,29106847,8915,1014,102403,3438,19114,864.2046323,3874.018835,108861.3537,7279.094961,14005.3275,703.1795782,3255.117018,110313.2774,7042.137163,13570.28916,3272.450375,3436.09376,107163.1059,6969.178594,14043.17136,764.2094712,3162.692536,110747.4507,7061.908488,13147.73919,820.1788813,3376.483687,113385.2834,3439.658664,13862.39539
48,273,1383922,0500000US48273,48273,Kleberg,6,2282585635,541039916,39841,43611,3125,12093,108764,44200.84378,20060.73036,42903.68547,24012.28766,76256.45103,44434.18425,15482.94719,21057.42306,22983.5585,103475.8869,80721.44234,14833.88102,17117.95481,22651.77764,72108.94354,53415.204,21499.29895,19097.56212,23113.62013,90308.31635,56644.68606,23129.92582,20561.42117,12097.66095,95000.30761
47,85,1639757,0500000US47085,47085,Humphreys,6,1374665964,67186875,6887,10329,107151,4074,5155,8441.343302,8642.339567,99755.62801,11925.64364,4831.046124,9489.585736,8225.521838,97738.52364,11889.17877,6253.188661,14240.5251,6412.224821,94447.01731,11855.16471,6641.067722,9952.591646,8399.380774,95760.77284,12211.65831,7271.596936,10510.27633,8781.273256,102535.0037,4075.580968,7693.866981
40,137,1101856,0500000US40137,40137,Stephens,6,2253926810,54694872,31600,4227,41920,11750,136159,28474.59106,36805.78975,90448.42528,24603.12437,45324.07099,15811.75609,20963.9646,60756.59426,21637.09261,106486.593,51280.13901,36741.59094,59927.45613,23085.70979,54621.10367,35635.71726,40759.55359,64222.55158,23548.74668,61489.42969,37572.43961,41568.73777,68514.16726,11750.73699,66249.91802
46,61,1266979,0500000US46061,46061,Hanson,6,1125387523,2248724,66473,26537,771,5007,7878,45992.91725,11727.48427,28241.10304,11728.69569,8975.799836,57754.8961,13311.43361,11317.73837,11433.68691,12848.24459,70597.04668,7399.398568,8804.256469,10812.75421,9052.544721,58981.63804,13728.23463,10318.82128,11285.3664,12351.94021,62552.83132,15009.01292,11379.98393,5008.920347,12715.25077
48,367,1383969,0500000US48367,48367,Parker,6,2339994942,17138771,6201,18970,36857,14423,154309,18818.18486,33768.93751,70701.43463,34447.75499,73023.68945,9230.951789,15931.6792,45093.67914,30810.3681,129693.3208,23338.63924,33925.25775,45140.02593,32742.25378,95613.82392,20824.71872,34489.58555,45462.76542,32803.86943,97179.0623,20806.15803,34512.71527,45214.98796,32805.44636,97420.69018
18,145,450387,0500000US18145,18145,Shelby,6,1064866358,4167815,85967,3231,7805,8600,790,51656.05297,5886.488482,31389.75413,17009.52306,451.182196,67002.44654,7370.246331,12763.65887,16760.98303,2495.665549,78450.91496,2315.769286,9948.014086,15433.22578,245.074442,67582.80805,7777.827129,12577.55179,16598.27256,1856.540913,67232.99421,7971.871012,12667.56493,16623.11347,1897.458431
19,127,465252,0500000US19127,19127,Marshall,6,1482776056,1803080,112320,10954,3493,12448,5755,74432.34895,13047.96221,30243.88526,20552.54359,6693.260317,87745.91671,14134.51547,13509.66783,20204.44755,9375.449612,100828.7338,6748.027887,11587.99292,19539.32935,6265.914135,88229.09789,14319.44574,13358.28933,20137.01636,8926.148977,92957.16629,15363.51415,14974.06373,12450.32772,9224.925967
19,117,465247,0500000US19117,19117,Lucas,6,1115257649,9852846,24227,50643,24471,5499,3834,23533.41073,19372.98281,47632.56363,12764.39709,5370.645772,23700.92023,17344.03383,47674.6218,12828.3311,7126.092998,44020.61046,10707.40745,40562.24011,11259.14069,2124.601762,25200.65605,19114.51807,48028.0354,12703.52323,3627.267762,27063.45678,20100.33693,51967.08098,5504.055578,4039.06967
27,101,659496,0500000US27101,27101,Murray,6,1825169472,38332579,152393,3552,967,8523,11467,89691.36959,14107.12357,46258.36484,18373.34058,8471.803795,115769.4174,16307.87348,12522.28738,17779.60332,14522.81542,138789.6124,6597.119101,9188.123383,16449.63257,5877.509746,116924.4815,17224.68081,12414.58667,17713.70439,12624.54944,123554.7541,18383.9003,13213.16084,8523,13227.18625
